"","run","R0","seed_start","peak_t"
"182",182,3.52578628146128,8,54
"183",183,1.99118969349254,8,80
"184",184,2.44210657209191,7,67
"185",185,2.53818496374903,6,65
"186",186,2.60740860775145,0,57
"187",187,1.62625662381465,12,107
"188",188,2.74350644753979,9,64
"189",189,3.22788305980981,7,56
"190",190,1.86909792692048,11,94
"191",191,1.98699446708898,19,91
"192",192,3.58796078242872,3,46
"193",193,2.59238393728416,1,56
"194",194,2.58115984300643,9,67
"195",195,1.50093134817951,20,120
"196",196,2.62719504701741,0,56
"197",197,1.99028994637314,12,78
"198",198,3.62426665861878,8,53
"199",199,2.70207197608083,10,64
"200",200,2.33547891989901,15,74
