"","run","R0","seed_start","peak_t"
"1",1,3.26044660116393,15,64
"2",2,2.01494818798272,0,68
"3",3,2.56678063560151,10,67
"4",4,2.62267317062699,18,71
"5",5,2.68651581109931,17,72
"6",6,2.01855128935596,5,74
"7",7,3.01634478103527,10,60
"8",8,1.63742339533945,10,102
"9",9,3.04126249976926,18,67
"10",10,2.66169508359814,15,70
"11",11,3.88004232346552,6,49
"12",12,1.82958625288466,8,87
"13",13,2.61412635831915,8,58
"14",14,1.99259498180561,1,70
"15",15,2.47314560569551,16,73
"16",16,2.72038422297602,20,74
"17",17,3.77726207969573,20,65
"18",18,2.52564631702216,4,64
"19",19,4.18452467200262,13,55
"20",20,2.63801732728232,17,72
"21",21,3.02490687900821,6,60
"22",22,3.33093778239106,17,63
"23",23,2.62430870407367,18,75
"24",24,2.5330313068615,1,56
"25",25,2.13746744107325,4,74
"26",26,2.46540390718207,20,77
"27",27,2.95569653480257,7,60
"28",28,2.84371413748367,2,58
"29",29,4.95775152775632,10,49
"30",30,2.42651488560003,6,69
"31",31,3.12924608843015,17,67
"32",32,2.763787930999,11,65
"33",33,2.33754953109252,16,77
"34",34,2.64723515070829,19,76
"35",35,2.18476388529788,9,76
"36",36,2.76094667378554,8,63
"37",37,1.81194682776163,12,82
"38",38,2.93766754497909,6,61
"39",39,2.16266808879315,12,78
"40",40,2.84546220736852,9,63
"41",41,3.48217900836603,0,49
"42",42,2.34255186606176,16,72
"43",43,3.27140906844888,12,61
"44",44,3.07388604242832,7,56
"45",45,1.90998927099924,4,76
"46",46,2.95555814189842,16,69
"47",47,2.10506302350642,2,71
"48",48,2.93741417827882,14,69
"49",49,2.83795785954773,10,63
"50",50,2.48972166306948,11,67
"51",51,3.24800759340665,14,64
"52",52,3.14373552206404,11,61
"53",53,2.5253347512873,20,78
"54",54,2.86645290346044,17,67
"55",55,2.64431954709874,2,62
"56",56,2.24179072175213,10,73
"57",57,2.83306779927943,18,74
"58",58,1.80524866570894,3,83
"59",59,2.57745821432335,2,60
"60",60,1.96492202405665,12,88
"61",61,2.35253024030504,10,70
"62",62,3.86589883446579,13,56
"63",63,1.91353967752318,12,88
"64",64,2.22785653943032,18,84
"65",65,2.92344521129525,2,57
"66",66,3.3891945258699,8,55
"67",67,2.16744976358306,20,89
"68",68,2.38782549675421,2,62
"69",69,2.72173908282184,3,60
"70",70,3.64165369677719,6,53
"71",71,2.77350853667511,14,68
"72",72,2.57316967219059,9,68
"73",73,1.92615722272963,9,77
"74",74,3.20288459182868,11,61
"75",75,3.68538330505739,20,65
"76",76,2.7895393527941,10,64
"77",77,2.5153123765168,20,78
"78",78,2.64142170903791,11,67
"79",79,2.75617928441239,16,69
"80",80,3.2595659906359,6,58
"81",81,2.5170504257074,6,67
"82",82,3.43409702278144,16,61
"83",83,3.53680649826704,8,57
"84",84,3.12230178214858,14,67
"85",85,2.1248205484609,11,84
"86",86,2.52493823844384,15,74
"87",87,2.60383455917266,3,61
"88",88,2.19522124383673,2,68
"89",89,2.78397720472266,18,69
"90",90,3.7548258432339,2,46
"91",91,1.50241182289546,17,112
"92",92,2.23236494874192,18,86
"93",93,2.26576334832328,11,77
"94",94,1.82407858944378,11,93
"95",95,2.88185302060364,0,52
"96",96,1.41728469586887,4,96
"97",97,2.79189843708421,13,63
"98",98,3.63428014464839,17,60
"99",99,2.64429933784219,2,61
"100",100,2.58416525905754,15,70
"101",101,2.23767271431788,4,69
"102",102,2.22078935358331,17,78
"103",103,2.73525859775442,6,60
"104",104,2.40127076679417,15,74
"105",105,2.39250702332724,12,70
"106",106,2.5850746269144,10,66
"107",107,2.95174522179049,15,64
"108",108,3.51112181754983,3,49
"109",109,4.05463958100268,13,56
"110",110,1.92898053938623,17,95
"111",111,2.75474816918734,14,68
"112",112,2.46984422710305,10,66
"113",113,4.06233267260158,7,50
"114",114,2.89806723754493,11,65
"115",115,2.65770796919492,2,57
"116",116,1.32041186136599,9,138
"117",117,2.50823096561513,1,61
